UniqueCount	AmbigCount
1	0
3	0
14	2
0	0
20	0
36	0
49	0
82	0
0	0
2	0
0	0
0	0
2	0
0	0
35	14
0	11
2	42
0	0
0	0
0	26
0	26
0	0
0	0
0	0
0	1
0	34
0	14
3	8
0	30
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	7
0	0
0	0
1	0
12	60
0	0
0	1
0	2
0	1
0	0
0	0
89	4
0	2
0	13
43	45
6	37
2	16
5	131
0	8
0	0
0	0
14	17
2	8
18	59
108	0
0	0
0	5
1	0
81	0
17	0
84	0
0	0
27	0
0	0
58	0
0	0
2	0
30	39
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	41
1	0
0	0
0	0
2	0
0	0
0	0
4	8
0	2
0	5
0	0
0	2
0	0
2	2
0	2
104	1
3	29
22	0
0	11
4	0
0	0
0	1
0	0
0	0
0	0
196	17
5	82
0	0
0	1
10	1
21	0
0	0
28	28
2	0
5	422
14	32
0	0
3	4
0	0
1	0
0	0
0	1
0	5
0	1
0	32
1	0
0	0
0	0
12	20
4	7
0	0
0	0
65	0
17	0
1	0
0	0
0	0
4317	0
0	0
105	0
0	0
0	0
73	0
191	0
22	0
0	0
0	0
971	4
229	4
170	0
212	0
83	4
96	0
82	0
200	0
0	0
10	0
1230	0
0	0
0	0
0	0
0	0
1012	72
1917	72
3	0
39	0
0	0
0	0
396	0
1537	20
1624	20
32	0
0	0
90	0
0	0
0	0
0	0
551	6
3395	13
499	6
0	0
0	0
34449	2858
28963	2856
4017	22
58	0
7	0
34	0
215	2
191	2
17	0
27	0
9	1
159	1
8	0
10	0
0	0
0	0
34	0
9	0
53	0
33	0
13	0
485	0
1381	0
4	0
5	0
30	0
165	1
295	1
1283	5
192	4
17	0
302	0
711	8
3761	8
2367	62
824	80
821	104
2640	96
92	10
0	0
96	0
11	0
0	0
122	0
2307	106
1535	105
0	0
0	0
0	0
0	0
0	0
1	57
51	0
2045	0
0	0
11	0
105	0
13	0
16	0
34	0
52	5
108	7
51	2
42	0
5774	59
33	1421
0	1220
14	1267
16	992
9	0
0	0
894	0
0	208
6	208
159	0
18	0
7	0
0	0
1	0
104	0
0	0
114	0
172	0
6	0
1	0
0	0
0	0
0	0
664	0
12	0
10	0
27	0
0	0
16	0
96	0
29	45
7	48
1449	4
402	0
38	0
24	70
0	70
63	527
0	527
64	0
13	268
39	268
99	152
2	152
3	0
272	0
26	88
0	88
107	0
15	0
6	0
1	0
124	0
1310	0
16	20
0	20
0	0
53	0
719	0
10	151
0	131
0	87
0	107
348	0
986	0
1	0
69	292
0	292
0	0
21	0
202	0
379	0
20	62
2	57
6	61
8	0
53	0
256	0
66	0
270	1070
5	1070
35141	3
76	0
50	0
144	0
46	0
1	0
1	0
347	0
81	4
13184	4
75	0
0	84
0	84
0	68
35	2
46	0
237	239
41	239
9	0
119	469
11	469
0	0
0	0
3	28
2	28
998	0
987	1
1	1
78	1
4	1
0	0
369	0
35	2546
2638	2546
22	0
179	0
0	158
19	158
51	0
3066	1
28	2650
0	2652
0	1669
3931	1
274	0
32	0
0	0
263	0
0	0
349	0
241	10
1	10
239	0
2	0
5	6
1	6
971	0
169	0
23	0
296	0
610	0
156	0
411	0
619	1
0	0
115	0
151	324
9	324
0	0
0	0
184	0
104	252
90	252
106	0
16	0
1	0
13	0
56	0
407	0
1	0
482	0
133	0
5	0
29	343
3	343
9222	0
22	33
0	33
48	0
11	0
1	8
0	8
0	0
3	0
255	1680
10	1680
2116	0
0	0
336	0
97	0
20	186
0	186
53	0
11	945
0	945
513	0
0	62
6	62
1	0
0	0
6	0
0	0
66	0
18573	2
0	0
0	2
0	2
9	0
56	0
112	0
61	0
0	0
25	0
2308	0
99	0
0	59
4	59
0	59
4169	0
772	1
6296	7547
0	7547
53	0
0	0
1	0
10	0
194	364
0	364
39	0
134	0
41	78
0	78
2	0
12	8
5	8
136	0
49	284
306	284
181	183
1	183
0	0
337	0
51	0
22	0
28	0
0	0
53	0
56	26
29	26
1	0
259	0
2	0
0	0
0	0
60	113
1	113
79	0
95	0
1220	0
19	38
0	38
4088	0
355	0
2044	0
0	0
0	0
122	0
117	0
57	858
1	699
44	761
242	0
195	0
468	871
1	871
785	0
25	0
0	0
10	69
3	69
0	0
0	0
1377	0
63	0
1451	0
594	0
0	0
0	0
0	0
1	0
11	0
352	0
0	1469
0	1430
7	1287
66	0
4	0
89	0
670	0
0	0
61	0
69	0
131	0
1	0
103	0
64	0
378	0
230	0
27	236
24	236
54	824
0	824
423	0
0	0
546	0
186	4
525	0
2561	13970
12	13970
5	13935
9	0
321	0
0	0
1372	0
189	1
1621	1
578	0
2	0
336	0
11	271
1	271
800	0
73	118
0	118
31	0
0	13
1	13
3	0
172	0
69	1426
0	1426
36	0
0	0
55	0
14	204
0	204
517	0
548	0
6	0
10	45
15	45
0	0
124	0
0	0
778	0
1606	0
534	0
0	0
337	0
80	0
57	186
5	186
0	185
69	0
119	819
0	819
136	0
4	877
2	866
0	847
154	0
8	0
111	0
337	55
28	55
0	4
0	4
0	0
0	0
0	0
1531	0
1	0
2952	1
14	0
431	0
636	473
0	473
0	0
25	0
17	0
4	144
14	144
58	0
0	0
0	0
53	0
146	1255
69	1255
516	0
0	0
0	0
146	0
61	0
0	0
39	0
3	0
9	0
27	0
0	0
0	0
115	0
0	0
3	0
598	0
0	0
0	98
0	98
16	0
1704	1
5	0
11	392
56	392
275	0
217	0
0	0
0	0
1451	0
0	0
0	2
15	1
4	109
0	109
0	0
95	0
6	0
8	8
1	8
21	0
423	0
0	0
1552	0
0	0
0	0
14	25
0	25
124	0
46	0
96	227
58	241
12	64
15	340
55	340
120	0
3	0
77	32
0	32
5	2970
0	2970
30	0
60	0
1144	0
3	0
37	0
193	0
5	0
15	360
13	360
2	85
11	85
145	0
0	0
389	0
9	646
21	646
555	0
0	0
50	0
548	0
353	0
47	0
0	110
3	110
86	0
1819	0
0	0
0	0
330	0
9	128
0	128
8	0
0	0
95	0
0	0
1323	0
4	388
0	388
2	388
87	709
84	709
829	0
13	443
0	330
0	448
212	0
4	186
0	186
671	0
2	0
46	372
32	372
162	0
833	0
530	0
730	0
0	456
3	456
2087	0
846	0
12	0
2	77
8	77
1	0
0	0
0	0
13	0
121	0
40	1
19	0
26	1
372	0
1071	0
0	0
986	990
0	990
1151	542
11	541
1063	0
111	0
24	0
2	0
2	0
28	416
90	416
0	416
0	416
804	0
51	0
8	1150
485	1150
19	0
276	434
1	434
0	0
105	0
513	0
123	0
222	0
149	0
28	0
646	0
401	0
842	0
1011	0
0	110
6	110
24	0
54	0
16	0
0	123
1	123
402	1
22	155
0	155
1	155
17	1289
0	1289
0	0
0	0
0	0
0	0
0	0
471	0
0	0
133	1562
5	1562
193	0
1808	0
685	0
0	0
0	0
38	0
1737	0
0	0
360	0
1658	0
11	53
6	53
612	0
1436	0
8	419
0	419
143	0
392	0
21	0
130	0
0	0
26	373
6	373
0	0
1	0
25	0
14	102
8	111
10	91
8	0
1	16
0	16
0	15
326	0
20	0
33	264
2	264
32	0
204	0
86	0
11	0
5	0
319	669
6	669
2	0
1	0
37	0
264	0
167	0
50	0
152	0
263	0
0	1
0	1
31	0
17	0
266	0
5	0
34	135
14	135
16	143
39	143
37	0
0	201
8	201
24	83
0	83
31	307
2	169
0	0
7056	1
26	442
41	442
94	0
34	0
25	0
0	0
0	0
268	1
12	169
7	169
140	0
0	3342
0	2724
0	2778
501	1
147	0
1	0
349	2321
3	2321
0	259
5	284
0	268
437	0
190	0
0	0
122	999
7	999
60	0
0	0
10	275
10	275
30	0
223	0
44	0
1	0
262	0
133	0
209	0
33	0
82	0
2	0
0	0
16	57
0	57
106	631
0	631
27	0
0	0
249	1
171	0
49	0
18	114
6	114
4	493
8	493
0	0
314	0
44	0
16	0
0	0
0	0
0	0
0	0
0	0
97	0
426	0
1	0
35	0
117	0
0	190
82	270
8	269
10	645
0	645
0	188
2	381
1	374
0	385
0	0
16	1214
194	1214
1133	0
71	0
270	0
2	0
0	0
5	29
10	29
9	11
0	11
3	0
155	0
105	970
111	970
28	62
0	62
126	0
0	2
1	2
665	2
3	58
1	58
5	58
67	0
13	0
17	301
23	301
953	0
438	0
25	0
2608	0
63	0
806	0
140	0
966	0
1732	0
0	0
243	0
6	0
108	0
0	44
1	44
65	0
0	479
0	503
8	487
0	450
158	0
366	0
9	0
28	0
0	0
0	0
1	43
0	43
0	37
1	0
23	1232
0	1233
11	1068
4	0
37	0
385	0
0	17
0	17
375	0
18	0
0	1299
2	1288
0	566
45	0
17	0
86	0
0	0
78	0
0	0
157	0
69	0
90	0
0	0
340	1062
37	1062
729	0
17	66
0	66
90	0
98	0
18	0
6	136
0	113
1	138
1	1
4708	1
134	0
28	311
0	311
5	0
66	45
0	45
0	0
51	0
15	0
524	0
0	320
8	301
80	320
189	0
3	145
0	145
5973	8
3691	0
0	0
0	0
0	0
236	0
0	0
22	0
3	0
11	156
0	154
0	155
0	152
15	187
1	187
441	0
38	117
32	117
0	99
1	108
7	0
88	0
2723	0
1110	0
281	0
2	0
0	0
3	19
0	19
52	0
294	0
103	1845
0	1845
124	513
130	512
65	0
257	0
175	0
0	0
21	0
10	0
20	0
0	0
0	0
42	0
2	16
0	16
2	0
0	0
0	0
1877	0
0	0
0	0
377	0
103	109
0	109
0	0
0	0
624	0
44	0
576	0
381	0
11	0
88	0
86	0
225	0
9	362
0	362
161	978
0	978
14	215
1	215
0	474
66	474
8	476
50	479
0	12
0	9
0	12
7	23
0	23
25	0
0	0
0	0
1	0
2	39388
250	39004
243	16313
2	0
308	0
2025	0
219	0
1	0
0	0
6	0
0	0
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	0
37	0
20	0
9	0
0	0
291	0
63	0
0	0
9	0
7	0
123	0
0	0
5	0
5	0
9	0
124	0
12	141
0	141
0	0
21	0
11	0
101	0
19	0
121	0
837	2
0	0
0	71
1	71
4	0
0	55
0	55
25	0
20	0
168	0
551	0
20	260
0	260
0	0
192	0
258	0
8	0
1	176
3	167
1	175
41	0
145	0
491	0
0	0
0	0
0	0
9	286
0	286
1	286
107	0
380	0
277	0
193	0
62	0
175	0
104	0
16	0
3	0
228	0
443	0
0	0
1618	0
16	0
0	0
0	558
1	464
0	491
0	0
85	432
12	432
61	0
316	0
0	840
0	906
0	832
0	911
0	876
2	828
118	0
1	0
57	0
59	479
0	479
370	0
6	221
0	221
4	20
2	25
0	20
0	22
114	241
11	241
198	0
195	0
0	0
386	0
39	0
158	0
63	0
1781	0
1218	0
990	0
4	0
5	0
0	0
65	0
282	0
99	0
1	90
4	90
433	0
16	0
6	125
3	125
333	0
5	0
119	0
0	60
5	60
1393	0
351	0
643	0
274	0
20	173
1	173
10	1376
7	1376
7	1376
0	0
273	0
1	9
11	9
1	0
260	0
0	0
61	0
759	0
2037	0
2	178
12	178
767	0
217	0
49	1731
1	1731
43	26
0	26
663	0
148	0
1644	0
2	4
0	4
185	0
115	0
222	0
36	232
0	232
600	0
394	0
4317	88
2662	74
2090	17
0	0
188	0
184	1
0	0
283	0
16	367
0	366
6	349
57	0
109	0
54	0
2479	0
0	0
1547	0
444	0
3	153
0	153
5	117
1	139
0	154
0	140
0	153
4	11
1	11
1	8
26	52
3	52
232	0
16	29
2	29
0	0
13	0
13	58
0	58
138	0
14	0
18	1018
3	1018
0	984
3	1013
0	0
86	0
0	0
0	0
0	0
45	0
132	541
1	541
299	0
0	571
6	571
0	546
59	0
3	0
3915	0
46	0
3	0
82	0
254	0
69	0
626	0
0	0
0	0
176	409
6	409
0	0
402	0
4189	1
43	0
0	0
0	0
10	0
15	0
554	205
11	2804
4	2248
1	2709
1	0
2169	1
67	0
1	0
908	0
0	4339
0	3875
0	3234
0	3698
0	452
3	442
0	452
43	420
3	420
1	37
0	37
1	23
0	25
1	0
3	0
0	0
0	0
3	0
64	175
0	175
1	0
0	0
109	0
312	0
0	0
3	54
12	54
0	0
25	0
1	0
3155	0
2	28
9	28
274	0
22	0
624	0
33	269
13	269
187	0
5	0
1021	0
61	391
0	391
0	1537
0	1417
0	1200
0	0
366	0
5	0
0	0
3	0
470	0
1	0
1	0
23	0
55	0
33	0
20	107
6	106
4	104
0	0
260	0
3	154
0	154
25	199
0	199
2	0
328	0
565	0
40	199
60	199
44	0
0	0
3	20
0	20
139	0
1	0
92	0
3	7
0	7
0	7
0	7
191	0
640	0
195	0
285	0
311	0
81	0
7	0
1	0
256	0
0	0
3	72
0	72
0	0
14	0
447	0
1	1
0	1
40	0
138	0
2978	0
41	0
2	48
0	52
0	41
11	128
0	128
0	126
0	0
1	0
47	453
0	303
5	238
1663	2338
0	2337
113	52
324	0
50	0
264	0
16	0
0	0
250	0
13	0
4630	8999
40	8906
11	8997
0	8994
0	0
427	0
1	225
14	225
13	953
1	815
1	782
10	870
0	870
0	830
0	0
0	0
7	91
0	93
16	93
83	0
0	0
41	0
1229	0
654	0
271	0
3	0
20	107
0	107
0	0
25	0
0	0
1	0
275	0
25	0
816	0
0	191
7	191
6	537
0	537
0	2
0	2
0	0
0	0
176	0
284	42
0	42
94	0
11	236
2	208
9	199
22	0
685	0
271	0
127	0
311	0
10	0
606	0
285	747
0	747
173	0
51	0
200	0
162	0
362	0
427	0
8	0
8832	0
124	0
0	0
7	0
37	0
170	0
178	0
622	0
22	516
9	516
108	0
296	1
1182	0
16	0
3012	0
2	0
276	0
0	80
0	97
0	90
41	0
0	0
0	86
28	86
3	64
398	0
0	0
2409	1
1065	0
0	0
2	0
2268	2
91	0
849	0
0	0
21	0
178	0
16	0
141	1155
3	1124
1	0
2	0
103	810
2	810
0	811
37	0
0	0
0	0
80	0
114	0
5	1
39	1
152	0
173	0
335	0
8	0
32	0
41	0
0	5
0	5
151	320
1	320
202	0
175	0
0	1
0	1
0	1
0	0
12	152
4	152
296	0
0	0
0	0
14	0
2	0
0	0
287	0
0	0
171	1
4	0
226	0
36	0
23	0
528	0
55	644
0	644
1449	1735
2	1735
14	13
0	13
8858	1
349	0
19	0
236	0
1253	0
4	0
802	1
4	0
258	0
2	52
2	52
18	0
13	9
13	7
172	2
539	0
0	0
5990	0
938	0
39	0
0	1174
184	1174
1153	1
677	0
224	0
3512	0
71	0
389	0
3703	1
9	0
176	0
132	0
343	0
0	0
0	0
894	0
512	0
1	387
0	387
24	387
0	387
0	4
2	4
365	0
187	0
268	0
28	121
0	121
6	19
0	19
0	0
0	0
45	507
7	507
713	0
537	0
244	0
36	0
0	0
681	0
229	0
261	0
86	445
7	445
0	0
43	0
0	0
0	0
1	106
0	106
0	106
0	0
0	0
45	0
37	0
1522	0
162	0
1832	0
123	802
2	802
314	0
0	0
321	0
997	0
29	504
4	504
4	63
2	63
302	0
1	0
0	0
0	91
55	91
1095	1
146	0
31	0
2	4
11	4
299	0
50	0
598	0
74	0
0	0
0	210
0	203
5	113
2	203
357	0
406	0
5	0
0	1069
0	1054
0	847
1	0
353	0
412	1
451	0
819	0
434	0
6	179
0	180
0	180
0	0
0	0
387	1
66	456
0	456
1	637
2	672
6	700
21	641
387	0
57	470
0	470
27	0
82	0
533	0
133	0
0	0
1	6
0	6
0	5
405	0
171	0
1018	59
6	59
93	0
79	0
4	0
79	241
0	241
1387	0
1415	1
1272	0
91	280
1	280
12	0
420	0
619	0
200	0
185	0
583	0
117	791
0	791
0	0
0	0
376	0
14	0
818	0
898	0
4497	0
0	0
1034	0
676	4
0	4
197	0
44	195
15	182
20	195
12	145
1	0
718	0
8	0
449	0
50	0
526	0
0	73
3	73
0	58
450	0
265	0
187	0
1942	0
93	0
0	0
3	239
0	238
3	238
838	0
0	0
519	0
266	0
597	0
944	0
906	148
1421	148
587	1502
0	1502
154	0
88	0
1	0
13	166
0	166
1	0
60	1151
2	1151
16	367
0	367
0	367
